stock_id,stock_name,stock_price
600295,鄂尔多斯,16.80
600297,广汇汽车,9.80
600298,安琪酵母,11.88
600299,安迪苏,6.41
600300,维维股份,10.28
600301,ST南化,4.65
600302,标准股份,9.07
600303,曙光股份,8.80
600305,恒顺醋业,7.10
600306,商业城,5.68
600307,酒钢宏兴,5.50
600308,华泰股份,11.98
600309,万华化学,11.28
600310,桂东电力,8.80
600311,荣华实业,8.60
600312,平高电气,12.45
600313,农发种业,6.30
600315,上海家化,9.18
600316,洪都航空,14.98
600317,营口港,5.90
600318,新力金融,5.10
600319,ST亚星,9.20
600320,振华重工,9.80
600321,ST正源,12.28
600322,天房发展,5.00
600323,瀚蓝环境,6.68
600325,华发股份,7.03
600326,西藏天路,6.88
600327,大东方,9.40
600328,兰太实业,7.88
600329,中新药业,10.00
600330,天通股份,8.99
600331,宏达股份,9.18
600332,白云山,9.80
600333,长春燃气,6.00
600335,国机汽车,6.00
600336,澳柯玛,9.10
600337,美克家居,13.09
600338,西藏珠峰,8.15
600339,中油工程,7.28
600340,华夏幸福,7.30
600343,航天动力,3.68
600345,长江通信,8.18
600346,恒力石化,5.36
600348,阳泉煤业,8.20
600350,山东高速,2.60
600351,亚宝药业,4.80
600352,浙江龙盛,8.51
600353,旭光股份,7.80
600354,敦煌种业,5.68
600355,精伦电子,16.18
600356,恒丰纸业,7.09
600358,国旅联合,5.86
600359,新农开发,3.86
600360,华微电子,8.42
600361,华联综超,7.90
600362,江西铜业,2.27
600363,联创光电,6.66
600365,通葡股份,7.08
600366,宁波韵升,10.37
600367,红星发展,12.66
600368,五洲交通,5.48
600369,西南证券,6.18
600370,三房巷,7.62
600371,万向德农,3.47
600372,中航电子,7.28
600373,中文传媒,2.68
600375,华菱星马,9.90
600376,首开股份,10.40
600377,宁沪高速,4.20
600378,昊华科技,6.58
600379,宝光股份,2.76
600380,健康元,24.80
600381,青海春天,5.68
600382,广东明珠,5.50
600383,金地集团,9.42
600385,*ST金泰,2.60
600386,北巴传媒,9.92
600387,海越能源,5.20
600388,龙净环保,7.20
600389,江山股份,7.00
600390,五矿资本,14.99
600391,航发科技,5.17
600392,盛和资源,9.73
600393,粤泰股份,180.00
600395,盘江股份,6.00
600396,*ST金山,6.00
600397,安源煤业,5.99
600398,海澜之家,9.98
600399,ST抚钢,5.50
600400,红豆股份,7.40
600403,大有能源,6.67
600405,动力源,8.29
600406,国电南瑞,10.39
600408,ST安泰,5.09
600409,三友化工,6.00
600410,华胜天成,17.14
600415,小商品城,1.60
600416,湘电股份,5.60
600418,江淮汽车,9.90
600419,天润乳业,5.80
600420,现代制药,8.08
600421,*ST仰帆,6.20
600422,昆药集团,10.22
600423,*ST柳化,6.96
600425,青松建化,4.30
600426,华鲁恒升,6.28
600428,中远海特,7.39
600429,三元股份,2.60
600433,冠豪高新,4.60
600435,北方导航,9.60
600436,片仔癀,8.55
600438,通威股份,7.50
600439,瑞贝卡,10.40
600444,国机通用,5.03
600446,金证股份,13.11
600448,华纺股份,5.92
600449,宁夏建材,6.70
600452,涪陵电力,4.89
600455,博通股份,8.26
600456,宝钛股份,5.40
600458,时代新材,6.60
600459,贵研铂业,6.80
600460,士兰微,11.60
