stock_id,area_name
600593,辽宁
600594,贵州
600595,河南
600596,浙江
600597,上海
600598,黑龙江
600599,湖南
600600,山东
600601,上海
600602,上海
600603,四川
600604,上海
600605,上海
600606,上海
600608,上海
600609,辽宁
600610,上海
600611,上海
600612,上海
600613,上海
600614,上海
600615,上海
600616,上海
600617,山西
600618,上海
600619,上海
600620,上海
600621,上海
600622,上海
600623,上海
600624,上海
600626,上海
600628,上海
600629,上海
600630,上海
600633,浙江
600634,上海
600635,上海
600636,上海
600637,上海
600638,上海
600639,上海
600640,上海
600641,上海
600642,上海
600643,上海
600644,四川
600645,天津
600647,上海
600648,上海
600649,上海
600650,上海
600651,上海
600652,上海
600653,上海
600654,上海
600655,上海
600657,北京
600658,北京
600660,福建
600661,上海
600662,上海
600663,上海
600664,黑龙江
600665,陕西
600666,黑龙江
600667,江苏
600668,浙江
600671,浙江
600673,广东
600674,四川
600675,上海
600676,上海
600677,浙江
600678,四川
600679,上海
600681,湖北
600682,江苏
600683,浙江
600684,广东
600685,广东
600686,福建
600687,甘肃
600688,上海
600689,上海
600690,山东
600691,山西
600692,上海
600693,福建
600694,辽宁
600695,上海
600696,上海
600697,吉林
600698,湖南
600699,浙江
600701,黑龙江
600702,四川
600703,湖北
600704,浙江
600705,黑龙江
600706,陕西
600707,陕西
600708,上海
600710,江苏
600711,福建
600712,广西
600713,江苏
600714,青海
600715,辽宁
600716,江苏
600717,天津
600718,辽宁
600719,辽宁
600720,甘肃
600721,新疆
600722,河北
600723,北京
600724,浙江
600725,云南
600726,黑龙江
600727,山东
600728,广东
600729,重庆
600730,北京
600731,湖南
600732,上海
600733,北京
600734,福建
600735,山东
600736,江苏
600737,新疆
600738,甘肃
600739,辽宁
600740,山西
600741,上海
600742,吉林
600743,北京
600744,湖南
600745,湖北
600746,江苏
600747,辽宁
600748,上海
600749,西藏
600750,江西
600751,天津
600753,福建
600754,上海
600755,福建
600756,山东
600757,湖北
600758,辽宁
600759,海南
600760,山东
600761,安徽
600763,浙江
600764,北京
600765,贵州
600766,山东
600767,上海
600768,浙江
600769,湖北
600770,江苏
600771,青海
600773,西藏
600774,湖北
600775,江苏
600776,浙江
600777,山东
600778,新疆
600779,四川
600780,山西
600781,河南
600782,江西
600783,山东
600784,山东
600785,宁夏
600787,天津
600789,山东
600790,浙江
600791,北京
600792,云南
600793,四川
600794,江苏
600795,辽宁
600796,浙江
600797,浙江
600798,浙江
600800,天津
600801,湖北
600802,福建
600803,河北
600804,四川
600805,江苏
600807,山东
600808,安徽
600809,山西
600810,河南
600811,黑龙江
600812,河北
600814,浙江
600815,福建
600816,上海
600817,河南
600818,上海
600819,上海
600820,上海
600821,天津
600822,上海
600823,上海
600824,上海
600825,上海
600826,上海
600827,上海
600828,四川
600829,黑龙江
600830,浙江
600831,陕西
600833,上海
600834,上海
600835,上海
600836,上海
600837,上海
600838,上海
600839,四川
600841,上海
600843,上海
600844,江苏
600845,上海
600846,上海
600847,重庆
600848,上海
600850,上海
600851,上海
600853,黑龙江
600854,江苏
600855,北京
600856,吉林
600857,浙江
600858,山东
600859,北京
600860,北京
600861,北京
600862,江苏
600863,内蒙古
600864,黑龙江
600865,浙江
600866,广东
600867,吉林
600868,广东
600869,青海
600870,福建
600871,北京
600872,广东
600873,西藏
600874,天津
600875,四川
600876,河南
600877,重庆
600879,湖北
600880,四川
600881,吉林
600882,上海
600883,云南
600884,浙江
600885,湖北
600886,北京
600887,内蒙古
600888,新疆
600889,江苏
600890,北京
600891,黑龙江
600892,广东
600893,陕西
600894,广东
600895,上海
600896,海南
600897,福建
600898,山东
600900,北京
600901,江苏
600903,贵州
600908,江苏
600909,安徽
600917,重庆
600919,江苏
600926,浙江
600928,陕西
600929,湖南
600933,浙江
600936,广西
600939,重庆
600958,上海
600959,江苏
600960,山东
600961,湖南
600962,北京
600963,湖南
600965,河北
600966,山东
600967,内蒙古
600968,北京
600969,湖南
600970,江苏
600971,安徽
600973,江苏
600975,湖南
600976,湖北
600977,北京
600978,广东
600979,四川
600980,北京
600981,江苏
600982,浙江
600983,安徽
600984,陕西
600985,安徽
600986,山东
600987,浙江
600988,内蒙古
600989,宁夏
600990,安徽
600992,贵州
600993,湖北
600995,云南
600996,贵州
600997,河北
600998,湖北
600999,广东
601000,河北
601001,山西
601002,浙江
601003,广西
601005,重庆
601006,山西
601007,江苏
601008,江苏
601009,江苏
601010,江苏
601011,黑龙江
601012,陕西
601015,陕西
601016,北京
601018,浙江
601019,山东
601020,西藏
601021,上海
601028,江苏
601038,河南
601058,山东
601066,北京
601068,北京
601069,新疆
601077,重庆
601086,甘肃
601088,北京
601098,湖南
601099,云南
601100,江苏
601101,北京
601106,黑龙江
601107,四川
601108,浙江
601111,北京
601113,浙江
601116,浙江
601117,北京
601118,海南
601126,北京
601127,重庆
601128,江苏
601137,浙江
601138,广东
601139,广东
601155,江苏
601158,重庆
601162,湖北
601163,山东
601166,福建
601168,青海
601169,北京
601177,浙江
601179,陕西
601186,北京
601188,黑龙江
601198,北京
601199,江苏
601200,上海
601208,四川
601211,上海
601212,甘肃
601216,内蒙古
601218,江苏
601222,江苏
601225,陕西
601226,北京
601228,广东
601229,上海
