stock_id,share_holder_company
600022,山东钢铁集团有限公司
600022,莱芜钢铁集团有限公司-2016年非公开发行可交换公司债券质押专户
600022,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600022,方威
600022,洪文龙
600022,杜永斌
600022,胡祖平
600023,浙江省能源集团有限公司
600023,中国华能集团有限公司
600023,浙江浙能兴源节能科技有限公司
600023,中国证券金融股份有限公司
600023,河北港口集团有限公司
600023,中央汇金资产管理有限责任公司
600023,上海浦东发展银行股份有限公司-中证长三角一体化发展主题交易型开放式指数证券投资基金
600023,大成基金-农业银行-大成中证金融资产管理计划
600023,嘉实基金-农业银行-嘉实中证金融资产管理计划
600023,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
600025,中国华能集团公司
600025,云南省能源投资集团有限公司
600025,云南合和(集团)股份有限公司
600025,香港中央结算有限公司
600025,全国社保基金一零五组合
600025,兴业证券股份有限公司
600025,汇添富基金-建设银行-中国人寿-中国人寿委托汇添富基金公司股票型组合
600025,摩根士丹利投资管理公司-摩根士丹利中国A股基金
600025,创金合信基金-工商银行-外贸信托-外贸信托﹒稳富FOF单一资金信托
600025,全国社保基金六零三组合
600026,中国海运集团有限公司
600026,HKSCC NOMINEES LIMITED
600026,香港中央结算有限公司
600026,中央汇金资产管理有限责任公司
600026,中国证券金融股份有限公司
600026,嘉实基金-农业银行-嘉实中证金融资产管理计划
600026,广发基金-农业银行-广发中证金融资产管理计划
600026,中欧基金-农业银行-中欧中证金融资产管理计划
600026,全国社保基金四一二组合
600026,彭贺庆
600027,中国华电集团有限公司
600027,香港中央结算(代理人)有限公司
600027,山东发展投资控股集团有限公司
600027,中国证券金融股份有限公司
600027,申能股份有限公司
600027,中国工艺集团有限公司
600027,中央汇金资产管理有限责任公司
600027,上海电气集团股份有限公司
600027,全国社保基金一零三组合
600027,全国社保基金四一二组合
600028,中国石油化工集团有限公司
600028,香港(中央结算)代理人有限公司
600028,中国证券金融股份有限公司
600028,国新投资有限公司
600028,北京诚通金控投资有限公司
600028,香港中央结算有限公司
600028,中央汇金资产管理有限责任公司
600028,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪
600028,中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪
600028,国泰君安证券股份有限公司
600029,中国南方航空集团有限公司
600029,香港中央结算(代理人)有限公司
600029,南龙控股有限公司
600029,香港中央结算有限公司
600029,中国航空油料集团有限公司
600029,中国证券金融股份有限公司
600029,美国航空公司
600029,中国国有企业结构调整基金股份有限公司
600029,春秋航空股份有限公司
600029,国新央企运营投资基金管理(广州)有限公司-国新央企运营(广州)投资基金(有限合伙)
600030,香港中央结算(代理人)有限公司
600030,中国中信有限公司
600030,中国证券金融股份有限公司
600030,中央汇金资产管理有限责任公司
600030,香港中央结算有限公司
600030,大成基金-农业银行-大成中证金融资产管理计划
600030,华夏基金-农业银行-华夏中证金融资产管理计划
600030,中欧基金-农业银行-中欧中证金融资产管理计划
600030,广发基金-农业银行-广发中证金融资产管理计划
600030,南方基金-农业银行-南方中证金融资产管理计划
600031,三一集团有限公司
600031,香港中央结算有限公司
600031,梁稳根
600031,中国证券金融股份有限公司
600031,全国社保基金一零二组合
600031,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
600031,全国社保基金一零四组合
600031,中央汇金资产管理有限责任公司
600031,全国社保基金一一二组合
600031,三一重工股份有限公司回购专用证券账户
600033,福建省高速公路集团有限公司
600033,招商局公路网络科技控股股份有限公司
600033,李明
600033,高秀波
600033,招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
600033,刘彦博
600033,毛伟伟
600033,李建华
600033,上海缤珩投资管理有限公司-缤珩5号私募证券投资基金
600033,中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金
600035,湖北省交通投资集团有限公司
600035,招商局公路网络科技控股股份有限公司
600035,北海三木创业投资有限公司
600035,北海市九番投资管理合伙企业(有限合伙)
600035,天安财产保险股份有限公司
600035,无锡稳润投资中心(有限合伙)
600035,张旭辉
600035,武汉三友正亚企业管理咨询合伙企业(有限合伙)
600035,姚绍山
600035,李淑华
600036,香港中央结算(代理人)有限公司
600036,招商局轮船有限公司
600036,中国远洋运输有限公司
600036,和谐健康保险股份有限公司-传统-普通保险产品
600036,安邦人寿保险股份有限公司-保守型投资组合
600036,深圳市晏清投资发展有限公司
600036,深圳市招融投资控股有限公司
600036,香港中央结算有限公司
600036,深圳市楚源投资发展有限公司
600036,中国证券金融股份有限公司
600037,北京北广传媒投资发展中心有限公司
600037,中国证券金融股份有限公司
600037,全国社保基金一零三组合
600037,金砖丝路投资(深圳)合伙企业(有限合伙)
600037,中央汇金资产管理有限责任公司
600037,中信证券-中信银行-中信证券积极策略6号集合资产管理计划
600037,新湖中宝股份有限公司
600037,东方明珠新媒体股份有限公司
600037,中国人民财产保险股份有限公司-传统-收益组合
600037,中国电影股份有限公司
600038,哈尔滨航空工业(集团)有限公司
600038,中航直升机有限责任公司
600038,中国航空科技工业股份有限公司
600038,哈尔滨飞机工业集团有限责任公司
600038,香港中央结算有限公司
600038,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
600038,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
600038,基本养老保险基金八零二组合
600038,中央汇金资产管理有限责任公司
600038,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
600039,四川省铁路产业投资集团有限责任公司
600039,中央汇金资产管理有限责任公司
600039,安徽省中安金融资产管理股份有限公司
600039,鹏华资产-浦发银行-粤财信托-粤财信托-菁英151期单一资金信托计划
600039,光大保德信基金-宁波银行-上海诚鼎新扬子投资合伙企业(有限合伙)
600039,华泰资管-广州农商行-华泰资产定增全周期资产管理产品
600039,孙卫平
600039,博时基金-农业银行-博时中证金融资产管理计划
600039,易方达基金-农业银行-易方达中证金融资产管理计划
600039,大成基金-农业银行-大成中证金融资产管理计划
600039,嘉实基金-农业银行-嘉实中证金融资产管理计划
600039,广发基金-农业银行-广发中证金融资产管理计划
600039,中欧基金-农业银行-中欧中证金融资产管理计划
600039,华夏基金-农业银行-华夏中证金融资产管理计划
600039,银华基金-农业银行-银华中证金融资产管理计划
600039,南方基金-农业银行-南方中证金融资产管理计划
600039,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
600048,保利南方集团有限公司
600048,泰康人寿保险有限责任公司-分红-个人分红-019L-FH002沪
600048,中国证券金融股份有限公司
600048,香港中央结算有限公司
600048,中国保利集团有限公司
600048,华美国际投资集团有限公司
600048,中央汇金资产管理有限责任公司
600048,泰康人寿保险有限责任公司-传统-普通保险产品-019L-CT001沪
600048,泰康人寿保险有限责任公司-万能-个险万能
600048,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
600050,中国联合网络通信集团有限公司
600050,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪
600050,中国国有企业结构调整基金股份有限公司
600050,深圳市腾讯信达有限合伙企业(有限合伙)
600050,嘉兴小度投资管理有限公司-宁波梅山保税港区百度鹏寰投资合伙企业(有限合伙)
600050,宿迁京东三弘企业管理中心(有限合伙)
600050,杭州阿里创业投资有限公司
600050,香港中央结算有限公司
600050,苏宁易购集团股份有限公司
600050,深圳淮海方舟信息产业股权投资基金(有限合伙)
600050,深圳光启互联技术投资合伙企业(有限合伙)
600051,浙江荣盛控股集团有限公司
600051,宁波经济技术开发区控股有限公司
600051,黄佩玲
600051,姜群荣
600051,王维和
600051,林穗贤
600051,罗瑞云
600051,杨丘琳
600051,阳泉市红楼商贸有限公司
600051,戴晓峻
600052,广厦控股集团有限公司
600052,广厦建设集团有限责任公司
600052,卢振华
600052,楼明
600052,楼忠福
600052,杭州股权管理中心
600052,重庆国际信托股份有限公司-重庆信托-麒麟投资1号集合资金信托计划
600052,郜红玲
600052,浙江广厦投资有限公司
600052,宫和云
600053,江西中江集团有限责任公司
600053,查国平
600053,金洪正
600053,中国证券金融股份有限公司
600053,拉萨昆吾九鼎产业投资管理有限公司
600053,陈雪明
600053,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600053,香港中央结算有限公司
600053,蔡自巍
600053,孙敏
600054,黄山旅游集团有限公司
600054,科威特政府投资局-自有资金
600054,GREENWOODS CHINA ALPHA MASTER FUND
600054,VALUE PARTNERS CLASSIC FUND
600054,上海混沌道然资产管理有限公司-混沌价值二号基金
600054,"GAOLING FUND,L.P."
600054,SEAHAWK CHINA DYNAMIC FUND
600054,NORGES BANK
600054,PINPOINT CHINA FUND
600054,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED
600055,江苏鱼跃科技发展有限公司
600055,俞熔
600055,上海云锋新创股权投资中心(有限合伙)
600055,上海盛宇股权投资中心(有限合伙)-盛宇十二号私募证券投资基金
