stock_id,leader_name
600022,苗刚
600022,马建春
600022,胡元木
600022,徐亮天
600022,张润生
600022,金立山
600022,尉可超
600022,杨再昌
600022,徐金梧
600023,程光坤
600023,王建堂
600023,戴新民
600023,王惠挺
600023,韩灵丽
600023,章良利
600023,何大安
600023,陈立新
600023,陈统钱
600023,虞国平
600023,孙朝阳
600023,韩洪灵
600023,虞国平
600023,应苗富
600023,孙玮恒
600023,曹路
600025,戴新民
600025,黄宁
600025,毛付根
600025,段万春
600025,艾永平
600025,沈军
600025,郑爱武
600025,叶才
600025,鲁俊兵
600025,孙卫
600025,张洪涛
600025,孙卫
600025,吴英
600025,杨万华
600025,杨勇
600025,周建
600025,张奇
600025,张立胜
600025,李双友
600025,杨先明
600025,李庆华
600025,王斌
600025,冯卫
600025,郑冬渝
600025,袁湘华
600025,王子伟
600025,邓炳超
600025,肖俊
600025,张之平
600026,张炜
600026,冯波鸣
600026,李倬琼
600026,俞伯正
600026,叶承智
600026,张松声
600026,朱迈进
600026,项永民
600026,徐一飞
600026,赵金文
600026,秦炯
600026,安志娟
600026,罗宇明
600026,阮永平
600026,翁羿
600026,杨磊
600026,刘汉波
600026,朱迈进
600026,芮萌
600026,林红华
600027,谢云
600027,彭国泉
600027,冯荣
600027,丁慧平
600027,王传顺
600027,陈斌1
600027,王晓渤
600027,王大树
600027,田洪宝
600027,田洪宝
600027,袁亚男
600027,王绪祥
600027,陈炜
600027,陈存来
600027,彭兴宇
600027,张戈临
600027,陶云鹏
600027,查剑秋
600027,苟伟
600027,倪守民
600027,马敬安
600027,陈海斌
600027,陈存来
600027,宗文龙
600028,李勇
600028,樊纲
600028,凌逸群
600028,蒋振盈
600028,余夕志
600028,喻宝才
600028,周恒友
600028,陈革
600028,王德华
600028,马永生
600028,雷典武
600028,汤敏
600028,凌逸群
600028,刘中云
600028,李云鹏
600028,杨昌江
600028,吴嘉宁
600028,戴厚良
600028,俞仁明
600028,蔡洪滨
600028,赵东
600028,赵日峰
600028,张保龙
600028,刘中云
600028,马永生
600028,邹惠平
600028,黄文生
600029,李彤彬
600029,王昌顺
600029,顾惠忠
600029,罗明毫
600029,毛娟
600029,罗来君
600029,李韶彬
600029,谭劲松
600029,林晓春
600029,苏亮
600029,韩文胜
600029,任积东
600029,郑凡
600029,马须伦
600029,陈威华
600029,王志学
600029,冯华南
600029,程勇
600029,李家世
600029,焦树阁
600029,谢兵
600029,肖立新
600029,章正荣
600029,马须伦
600030,周忠惠
600030,刘好
600030,郭昭
600030,杨明辉
600030,张皓
600030,张国明
600030,杨振宇
600030,李冏
600030,刘克
600030,宋群力
600030,张佑君
600030,匡涛
600030,饶戈平
600030,雷勇
600030,何佳
600030,郑京
600030,杨明辉
600031,向文波
600031,梁在中
600031,向儒安
600031,易小刚
600031,刘华
600031,向文波
600031,李道成
600031,张科
600031,唐立桦
600031,袁爱进
600031,向思龙
600031,唐修国
600031,唐涯
600031,孙新良
600031,黄建龙
600031,易小刚
600031,赵想章
600031,梁稳根
600031,苏子孟
600031,俞宏福
600031,刘道君
600031,姚川大
600031,肖友良
600031,马光远
600031,周华
600031,代晴华
600033,陈成漳
600033,陈建忠
600033,沈锦洪
600033,周春晖
600033,何高文
600033,林兢
600033,叶国昌
600033,何高文
600033,连雄
600033,黄开青
600033,侯岳屏
600033,徐梦
600033,蔡晓荣
600033,黄晞
600033,吴新华
600033,陈岳峰
600033,陈建煌
600033,程辛钱
600033,方晓东
600033,程辛钱
600033,郑建雄
600033,吴玉姜
600035,阮一恒
600035,王南军
600035,陈敏
600035,李娟
600035,周春晖
600035,宋晓峰
600035,郭月梅
600035,周安军
600035,张晴
600035,汪勇
600035,刘刚
600035,宁立志
600035,彭玲珑
600035,宋晓峰
600035,李琳
600035,程勇
600035,罗敏
600035,侯往
600035,刘先福
600035,阮一恒
600036,洪小源
600036,罗胜
600036,王万青
600036,田惠宇
600036,梁锦松
600036,李德林
600036,丁慧平
600036,王云桂
600036,田惠宇
600036,苏敏
600036,刘小明
600036,王良
600036,周松
600036,唐志宏
600036,汪建中
600036,刘辉
600036,王大雄
600036,徐政军
600036,王良
600036,田宏启
600036,王仕雄
600036,刘俏
600036,吴珩
600036,韩子荣
600036,刘建军
600036,温建国
600036,付刚峰
600036,施顺华
600036,赵军
600036,张健
600036,李孟刚
600036,彭碧宏
600036,刘建军
600036,刘元
600036,李建红
600037,何公明
600037,马健
600037,康朝晖
600037,胡志鹏
600037,卢东涛
600037,余维杰
600037,唐文伟
600037,张恒
600037,卢东涛
600037,曾春
600037,王建
600037,齐斌
600037,崔欣
600037,陈乐天
600037,杨秀英
600037,韩霁凯
600037,胡志鹏
600037,崔也光
600037,郭章鹏
600037,石群峰
600037,何拥军
600037,陶鸣成
600037,孔炯
600037,方丽
600038,孙庆民
600038,常洪亮
600038,曲景文
600038,黎学勤
600038,聂小铭
600038,吴希明
600038,堵娟
600038,杨宝军
600038,张继超
600038,陈光
600038,吕杰
600038,张银生
600038,顾韶辉
600038,夏群林
600038,吴坚
600038,许培辉
600038,陶国飞
600038,郭念
600038,鲍卉芳
600038,吕杰
600038,王正喜
600038,张焱群
600038,洪波
600039,谭德彬
600039,吴越
600039,熊国斌
600039,范文理
600039,方跃
600039,王猛
600039,杨如刚
600039,李继东
600039,刘德永
600039,孙永松
600039,卢伟
600039,胡元华
600039,刘德永
600039,胡元华
600039,甘洪
600039,周勇
600039,胡圣厦
600039,孙云
600039,杨勇
600039,吴开超
600039,甘洪
600039,栾黎
600048,潘志华
600048,张万顺
600048,刘军才
600048,黄海
600048,张伟
600048,周东利
600048,张艳华
600048,戴德明
600048,邢怡
600048,付俊
600048,宋广菊
600048,朱征夫
600048,刘平
600048,刘文生
600048,张振高
600048,孔峻峰
600048,李非
600048,陈冬桔
600048,傅俊元
600048,郭猛超
600048,刘平
600050,王晓初
